ticker,name,security_type,shares,cost_basis,current_value,purchase_date,account_id,asset_class,expense_ratio
GLDÊ,GLDÊ,etf,100,"$29,978.75","$29,193.75",Various,IBRK,Gold,
SCHDÊ,SCHDÊ,etf,100,"$21,986.10","$22,541.10",Various,IBRK,Large Cap Equity,
VBRÊ,VBRÊ,etf,100,"$29,989.08","$30,466.08",Various,IBRK,Small Cap Equity,
VGITÊ,VGITÊ,etf,100,"$40,434.86","$40,196.86",Various,IBRK,Govt Bond,
VWOÊ,VWOÊ,etf,100,"$39,567.30","$39,045.30",Various,IBRK,Emerging Markets,
VXUSÊ,VXUSÊ,etf,100,"$40,169.40","$40,092.80",Various,IBRK,International,
Cash,Cash,etf,100,$493.84,$493.84,Various,IBRK,Cash,
VBTIX,VBTIX,etf,100,"$670,491.56","$669,841.89",Various,Netbenefits 401k,Agg Bond,
INTL STOCK MKT IDXÊ01/15/2020,INTL STOCK MKT IDXÊ01/15/2020,etf,100,"$152,684.68","$222,132.54",Various,Netbenefits 401k,International,
INFL PROTECTED BONDÊ02/15/2017,INFL PROTECTED BONDÊ02/15/2017,etf,100,"$174,101.36","$174,109.80",Various,Netbenefits 401k,TIPS,
LARGE COMPANY IDXÊ01/10/2024,LARGE COMPANY IDXÊ01/10/2024,etf,100,"$149,978.71","$152,709.40",Various,Netbenefits 401k,Large Cap Equity,
VFIDX,VFIDX,etf,100,"$134,891.49","$135,343.35",Various,Netbenefits 401k,Agg Bond,
LARGE-CAP VALUE IDXÊ12/17/2024,LARGE-CAP VALUE IDXÊ12/17/2024,etf,100,"$58,472.99","$61,551.18",Various,Netbenefits 401k,Large Cap Equity,
VFSIX,VFSIX,etf,100,"$60,145.37","$60,201.37",Various,Netbenefits 401k,Agg Bond,
SMALL/MID-CAP IDXÊ04/15/2025,SMALL/MID-CAP IDXÊ04/15/2025,etf,100,"$14,796.42","$15,176.38",Various,Netbenefits 401k,Small Cap Equity,
EMERGING MKT STK IDXÊ10/20/2025,EMERGING MKT STK IDXÊ10/20/2025,etf,100,"$15,112.39","$14,906.72",Various,Netbenefits 401k,Emerging Markets,
TOTAL STOCK MKT IDXÊ01/14/2022,TOTAL STOCK MKT IDXÊ01/14/2022,etf,100,"$22,784.10","$32,156.87",Various,NetBenefits-Excess 401k,US Stock,
INTL STOCK MKT IDXÊ01/14/2022,INTL STOCK MKT IDXÊ01/14/2022,etf,100,"$9,113.75","$12,148.15",Various,NetBenefits-Excess 401k,International,
REIT IDXÊ01/14/2022,REIT IDXÊ01/14/2022,etf,100,"$4,556.91","$5,288.28",Various,NetBenefits-Excess 401k,REIT,
LONG-TERM CORP BONDÊ01/14/2022,LONG-TERM CORP BONDÊ01/14/2022,etf,100,"$4,557.01","$5,048.67",Various,NetBenefits-Excess 401k,Agg Bond,
INFL PROTECTED BONDÊ01/14/2022,INFL PROTECTED BONDÊ01/14/2022,etf,100,"$4,557.06","$4,929.41",Various,NetBenefits-Excess 401k,TIPS,
Cash,Cash,etf,100,"$198,231.06","$198,231.06",Various,Merrill-Yang-401k,Cash,
FFFGX,FFFGX,etf,100,"$2,380.05","$5,850.87",Various,Fidelity-Yang-IRA,Target Date,
Cash,Cash,etf,100,"$226,545.55","$226,545.55",Various,Fidelity-Yang-IRA,Cash,
GLD,GLD,etf,100,"$2,981.28","$3,114.04",Various,E*Trade,Gold,
QQQ,QQQ,etf,100,"$84,448.18","$181,207.20",Various,E*Trade,Small Cap Equity,
QQQ May 15 '26 $480 Put,QQQ May 15 '26 $480 Put,option,100,"-$3,090.99","-$1,710.00",Various,E*Trade,Options,
QQQ May 15 '26 $535 Put,QQQ May 15 '26 $535 Put,option,100,"$5,783.00","$3,366.00",Various,E*Trade,Options,
SPY,SPY,etf,100,"$127,956.43","$245,154.25",Various,E*Trade,Large Cap Equity,
SPY Apr 30 '26 $525 Put,SPY Apr 30 '26 $525 Put,option,100,"-$1,374.66",-$747.00,Various,E*Trade,Options,
SPY Apr 30 '26 $595 Put,SPY Apr 30 '26 $595 Put,option,100,"$2,937.33","$1,639.00",Various,E*Trade,Options,
VOO,VOO,etf,100,"$29,605.92","$30,086.88",Various,E*Trade,Large Cap Equity,
CASH,CASH,etf,100,"$104,438.66","$104,438.66",Various,E*Trade,Cash,
SGOV,SGOV,etf,100,"$70,022.66","$69,857.52",Various,Schwab,Govt Bond,
SHV,SHV,etf,100,"$10,023.65","$10,020.47",Various,Schwab,Govt Bond,
SPY,SPY,etf,100,"$55,978.94","$117,709.20",Various,Schwab,Large Cap Equity,
VTI,VTI,etf,100,"$176,303.19","$320,040.12",Various,Schwab,US Stock,
Cash,Cash,etf,100,"$61,189.47","$61,189.47",Various,Schwab,Cash,
XLV,XLV,etf,100,"$29,915.45","$32,086.60",Various,WellsFargo,Large Cap Equity,
XLU,XLU,etf,100,"$79,800.46","$78,786.50",Various,WellsFargo,Large Cap Equity,
ITOT,ITOT,etf,100,"$133,323.03","$135,086.49",Various,WellsFargo,Large Cap Equity,
SHV,SHV,etf,100,"$40,114.98","$40,049.54",Various,WellsFargo,Govt Bond,
SCHD,SCHD,etf,100,"$90,428.66","$92,108.45",Various,WellsFargo,Large Cap Equity,
SPY,SPY,etf,100,"$73,663.25","$124,458.35",Various,WellsFargo,Large Cap Equity,
SPY,SPY,etf,100,$580.75,$688.95,Various,WellsFargo,Large Cap Equity,
VIG,VIG,etf,100,"$50,024.96","$53,839.94",Various,WellsFargo,Large Cap Equity,
VGK,VGK,etf,100,"$50,083.36","$52,780.82",Various,WellsFargo,International,
VOO,VOO,etf,100,"$71,769.58","$126,131.49",Various,WellsFargo,Large Cap Equity,
VOO,VOO,etf,100,"$79,519.41","$80,754.00",Various,WellsFargo,Large Cap Equity,
VBR,VBR,etf,100,"$70,382.79","$71,366.49",Various,WellsFargo,Small Cap Equity,
Cash,Cash,etf,100,"$298,403.87","$298,403.87",Various,WellsFargo,Cash,
XLV ,XLV ,etf,100,"-$8,240.48",$77.00,Various,MerrillEdge,Large Cap Equity,
VIG ,VIG ,etf,100,"-$59,158.15",$74.15,Various,MerrillEdge,Large Cap Equity,
VTI ,VTI ,etf,100,"$113,694.26","$115,507.45",Various,MerrillEdge,US Stock,
SPY ,SPY ,etf,100,"$92,560.15","$98,424.30",Various,MerrillEdge,Large Cap Equity,
VOO ,VOO ,etf,100,"$28,868.20","$29,664.13",Various,MerrillEdge,Large Cap Equity,
BRKB ,BRKB ,etf,100,"$97,940.88","$126,828.92",Various,MerrillEdge,Large Cap Equity,
VBR ,VBR ,etf,100,"$157,200.35","$159,185.22",Various,MerrillEdge,Small Cap Equity,
VWO ,VWO ,etf,100,"$120,299.30","$119,911.61",Various,MerrillEdge,International,
Cash,Cash,etf,100,"$400,031.00","$400,031.00",Various,MerrillEdge,Cash,